ServiceName,AvgRatingPerService
Facial Glow,5
Party Makeup,5
Anti-Tan Facial,5
Mehendi,5
Hair Straightening,5
Hair Spa,5
Manicure,5
Body Polish,5
Back Massage,5
Waxing + Facial,5
Haircut,5
Fruit Facial,5
Body Scrub,5
Pedicure + Manicure,5
Haircut + Massage,5
Massage + Steam,5
Bridal Package,5
Spa Facial,5
Beard Styling,5
Hot Stone Massage,5
Bridal Makeup,5
Nail Art,5
Facial,5
Hair Coloring,4.666666666666667
Haircut + Shave,4.5
Head Massage,4
Haircut + Beard,4
Beard Grooming,4
Pedicure,4
Thai Massage,4
Shoulder Massage,4
Foot Reflexology,4
Relaxing Massage,4
Hair Styling,4
Full Body Massage,4
Hair Wash + Style,4
Waxing,4
Foot Massage,4
Haircut + Styling,4
Head + Shoulder Massage,4
